"We can't find posts matching the selection.","There are currently no posts in this category."
"Read more &#187;","Read more &#187;"
Archive,Archive
"Archive %s","Archive %s"
Categories,Categories
"Recent Posts","Recent Posts"
"Special Price","Special Price"
"Regular Price","Regular Price"
"Buy %1 for: ","Buy %1 for: "
"Click for price","Click for price"
"Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>","Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>"
"Buy %1 for %2 each","Buy %1 for %2 each"
"Compare Products","Compare Item"
"Print This Page","Print This Page"
"Remove Product","Remove Item"
Product,Product
"Add to Cart","Add to Basket"
"In stock","In stock"
"Out of stock","Out of stock"
"%1's Wish List","%1's Gallery"
"Add to Wish List","Add to My Gallery"
"Wish List Sharing","My Gallery Sharing"
"You have no items to compare.","You have no items to compare."
"Remove This Item","Remove This Item"
Compare,Compare
"Clear All","Clear All"
"We can't find products matching the selection.","There are currently no stock items in this category. We list new pictures weekly so please check back soon."
"Add to Compare","Add to Compare"
"Related Products","Related Item"
"We found other products you might like!","We found other items you might like!"
"More Choices:","More Choices:"
"New Products","New Item"
"Check items to add to the cart or","Check items to add to the basket or"
"select all","select all"
"Items %1-%2 of %3","Items %1-%2 of %3"
"%1 Item","%1 Item"
"%1 Items","%1 Items"
Show,Show
"per page","per page"
"Sort By","Sort By"
"Set Ascending Direction","Set Ascending Direction"
"Set Descending Direction","Set Descending Direction"
"View as","View as"
"Learn More","Learn More"
"Add to Basket","Add to Basket"
"More Information","More Information"
label,label
Loading...,Loading...
Email,Email
Change,Change
Delete,Delete
"Compatible file extensions to upload","Compatible file extensions to upload"
"Maximum image width","Maximum image width"
px.,px.
"Maximum image height","Maximum image height"
"Maximum number of characters:","Maximum number of characters:"
"* Required Fields","* Required Fields"
Availability,Availability
Sold,Sold
"%1 is available to buy in increments of %2","%1 is available to buy in increments of %2"
"Apply Discount Code","Apply Discount Code"
"Enter discount code","Enter discount code"
"Apply Discount","Apply Discount"
"Cancel Discount","Cancel Discount"
"Shopping Basket Items","My Basket"
"My Basket","My Basket"
Price,Price
"Continue Shopping","Continue Shopping"
"Clear Shopping Basket","Clear Basket"
Item,Item
"See price before order confirmation.","See price before order confirmation."
"What's this?","What's this?"
"Remove item","Remove item"
Basket,Basket
"You have no items in your shopping basket.","You have no items in your basket."
"Click <strong><a href=""%1"">here</a></strong> to continue shopping.","Click <strong><a href=""%1"">here</a></strong> to continue shopping."
"You added %1 to your <a href=""%2"">basket</a>.","You added %1 to your <a href=""%2"">basket</a>."
"Proceed to Checkout","Proceed to Checkout"
"Your order number is: %1.","Your order number is: %1."
"Your order # is: <span>%1</span>.","Your order # is: <span>%1</span>."
"You will receive an order confirmation email.","You will receive an order confirmation email."
"Contact Us","Contact Us"
"Jot us a note and we’ll get back to you as quickly as possible.","Contact us and we’ll get back to you as quickly as possible."
Name,Name
